id,age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impulsive,ss,0,1,2,3,4,5,6
1,0.49788000000000004,0.48246000000000006,-0.059210000000000006,0.9608200000000001,0.126,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21711999999999998,-1.18084,1,0,0,0,0,0,0
2,-0.07854,-0.48246000000000006,1.98437,0.9608200000000001,-0.31685,-0.67825,1.9388599999999998,1.43533,0.7609600000000001,-0.14277,-0.71126,-0.21575,0,0,0,0,1,0,0
3,0.49788000000000004,-0.48246000000000006,-0.059210000000000006,0.9608200000000001,-0.31685,-0.46725,0.80523,-0.8473200000000001,-1.6209,-1.0145,-1.37983,0.40148,0,0,0,1,0,0,0
4,-0.9519700000000001,0.48246000000000006,1.16365,0.9608200000000001,-0.31685,-0.14882,-0.80615,-0.019280000000000002,0.59042,0.5848899999999999,-1.37983,-1.18084,0,0,1,0,0,0,0
5,0.49788000000000004,0.48246000000000006,1.98437,0.9608200000000001,-0.31685,0.73545,-1.6334,-0.45174,-0.30172,1.3061200000000002,-0.21711999999999998,-0.21575,0,0,0,1,0,0,0
6,2.59171,0.48246000000000006,-1.22751,0.24923,-0.31685,-0.67825,-0.30033000000000004,-1.55521,2.03972,1.6308799999999999,-1.37983,-1.5485799999999998,1,0,0,0,0,0,0
7,1.09449,-0.48246000000000006,1.16365,-0.57009,-0.31685,-0.46725,-1.09207,-0.45174,-0.30172,0.9394899999999999,-0.21711999999999998,0.07987000000000001,0,1,0,0,0,0,0
8,0.49788000000000004,-0.48246000000000006,-1.7379,0.9608200000000001,-0.31685,-1.32828,1.9388599999999998,-0.8473200000000001,-0.30172,1.6308799999999999,0.19268,-0.52593,1,0,0,0,0,0,0
9,0.49788000000000004,0.48246000000000006,-0.059210000000000006,0.24923,-0.31685,0.62967,2.57309,-0.97631,0.7609600000000001,1.1340700000000001,-1.37983,-1.5485799999999998,1,0,0,0,0,0,0
10,1.82213,-0.48246000000000006,1.16365,0.9608200000000001,-0.31685,-0.24649000000000001,0.0033200000000000005,-1.42424,0.59042,0.12330999999999999,-1.37983,-0.8463700000000001,0,1,0,0,0,0,0
